64		# total colors
16		# column width
# palette data r,g,b,a
0,0,0,255
255,0,0,255
255,255,222,255
184,0,222,255
0,0,0,255
0,255,0,255
184,184,151,255
0,184,151,255
0,0,0,255
184,184,151,255
255,255,0,255
0,0,222,255
0,0,0,255
255,255,222,255
255,0,0,255
255,255,222,255
0,0,0,255
255,255,0,255
0,0,222,255
184,184,151,255
0,0,0,255
255,255,222,255
184,0,222,255
255,255,0,255
0,0,0,255
255,255,222,255
255,255,0,255
255,0,0,255
0,0,0,255
255,0,0,255
184,0,222,255
255,255,0,255
0,0,0,255
255,255,0,255
255,255,222,255
0,0,222,255
0,0,0,255
255,0,222,255
0,255,0,255
184,0,0,255
0,0,0,255
255,0,0,255
0,0,222,255
255,255,0,255
0,0,0,255
255,255,0,255
0,151,222,255
184,0,0,255
0,0,0,255
255,0,0,255
151,184,151,255
0,0,222,255
0,0,0,255
255,255,222,255
184,0,222,255
255,184,0,255
0,0,0,255
0,0,222,255
184,0,0,255
255,184,0,255
0,0,0,255
255,255,0,255
184,0,0,255
255,0,222,255
